Current Angles: 0.680, 0.680; Goal: 1.303, 1.483;+0.017453292519943295 rad on alpha: 0.627, -0.017453292519943295 rad on alpha: 0.591, +0.017453292519943295 rad on beta: 0.627, -0.017453292519943295 rad on beta: 0.591; Robot choose: +0.017453292519943295 rad on alpha with Utility Value: 0.627; Distance: 0.355; Predicted Coordinates: (x=1.544, y=1.271)
Current Angles: 0.205, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.081, -0.017453292519943295 rad on alpha: 0.100, +0.017453292519943295 rad on beta: 0.084, -0.017453292519943295 rad on beta: 0.098; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.100; Distance: 1.216; Predicted Coordinates: (x=1.279, y=1.142)
Current Angles: 0.188, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.091, -0.017453292519943295 rad on alpha: 0.110, +0.017453292519943295 rad on beta: 0.094, -0.017453292519943295 rad on beta: 0.107; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.110; Distance: 1.200; Predicted Coordinates: (x=1.282, y=1.125)
Current Angles: 0.170, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.100, -0.017453292519943295 rad on alpha: 0.119, +0.017453292519943295 rad on beta: 0.103, -0.017453292519943295 rad on beta: 0.117; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.119; Distance: 1.184; Predicted Coordinates: (x=1.285, y=1.107)
Current Angles: 0.153, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.110, -0.017453292519943295 rad on alpha: 0.129, +0.017453292519943295 rad on beta: 0.112, -0.017453292519943295 rad on beta: 0.126; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.129; Distance: 1.169; Predicted Coordinates: (x=1.287, y=1.090)
Current Angles: 0.136, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.119, -0.017453292519943295 rad on alpha: 0.138, +0.017453292519943295 rad on beta: 0.122, -0.017453292519943295 rad on beta: 0.136; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.138; Distance: 1.153; Predicted Coordinates: (x=1.289, y=1.073)
Current Angles: 0.118, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.129, -0.017453292519943295 rad on alpha: 0.147, +0.017453292519943295 rad on beta: 0.131, -0.017453292519943295 rad on beta: 0.145; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.147; Distance: 1.138; Predicted Coordinates: (x=1.291, y=1.056)
Current Angles: 0.101, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.138, -0.017453292519943295 rad on alpha: 0.156, +0.017453292519943295 rad on beta: 0.140, -0.017453292519943295 rad on beta: 0.154; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.156; Distance: 1.123; Predicted Coordinates: (x=1.293, y=1.038)
Current Angles: 0.083, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.147, -0.017453292519943295 rad on alpha: 0.165, +0.017453292519943295 rad on beta: 0.149, -0.017453292519943295 rad on beta: 0.163; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.165; Distance: 1.109; Predicted Coordinates: (x=1.294, y=1.021)
Current Angles: 0.066, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.156, -0.017453292519943295 rad on alpha: 0.174, +0.017453292519943295 rad on beta: 0.158, -0.017453292519943295 rad on beta: 0.173; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.174; Distance: 1.094; Predicted Coordinates: (x=1.295, y=1.003)
Current Angles: 0.048, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.165, -0.017453292519943295 rad on alpha: 0.183, +0.017453292519943295 rad on beta: 0.167, -0.017453292519943295 rad on beta: 0.182; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.183; Distance: 1.080; Predicted Coordinates: (x=1.296, y=0.986)
Current Angles: 0.031, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.174, -0.017453292519943295 rad on alpha: 0.192, +0.017453292519943295 rad on beta: 0.176, -0.017453292519943295 rad on beta: 0.190; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.192; Distance: 1.066; Predicted Coordinates: (x=1.296, y=0.968)
Current Angles: 0.013, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.183, -0.017453292519943295 rad on alpha: 0.200, +0.017453292519943295 rad on beta: 0.184, -0.017453292519943295 rad on beta: 0.199; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.200; Distance: 1.052; Predicted Coordinates: (x=1.296, y=0.951)
Current Angles: -0.004, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.192, -0.017453292519943295 rad on alpha: 0.209, +0.017453292519943295 rad on beta: 0.193, -0.017453292519943295 rad on beta: 0.208; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.209; Distance: 1.039; Predicted Coordinates: (x=1.296, y=0.934)
Current Angles: -0.022, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.200, -0.017453292519943295 rad on alpha: 0.217, +0.017453292519943295 rad on beta: 0.201, -0.017453292519943295 rad on beta: 0.216; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.217; Distance: 1.026; Predicted Coordinates: (x=1.296, y=0.916)
Current Angles: -0.039, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.209, -0.017453292519943295 rad on alpha: 0.225, +0.017453292519943295 rad on beta: 0.209, -0.017453292519943295 rad on beta: 0.224; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.225; Distance: 1.014; Predicted Coordinates: (x=1.295, y=0.899)
Current Angles: -0.056, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.217, -0.017453292519943295 rad on alpha: 0.233, +0.017453292519943295 rad on beta: 0.217, -0.017453292519943295 rad on beta: 0.233; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.233; Distance: 1.001; Predicted Coordinates: (x=1.294, y=0.881)
Current Angles: -0.074, 1.270; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.225, -0.017453292519943295 rad on alpha: 0.240, +0.017453292519943295 rad on beta: 0.225, -0.017453292519943295 rad on beta: 0.240; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.240; Distance: 0.989; Predicted Coordinates: (x=1.310, y=0.876)
Current Angles: -0.074, 1.253; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.233, -0.017453292519943295 rad on alpha: 0.248, +0.017453292519943295 rad on beta: 0.233, -0.017453292519943295 rad on beta: 0.248; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.248; Distance: 0.974; Predicted Coordinates: (x=1.327, y=0.870)
Current Angles: -0.074, 1.235; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.240, -0.017453292519943295 rad on alpha: 0.256, +0.017453292519943295 rad on beta: 0.240, -0.017453292519943295 rad on beta: 0.256; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.256; Distance: 0.958; Predicted Coordinates: (x=1.325, y=0.853)
Current Angles: -0.091, 1.235; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.248, -0.017453292519943295 rad on alpha: 0.264, +0.017453292519943295 rad on beta: 0.248, -0.017453292519943295 rad on beta: 0.264; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.264; Distance: 0.947; Predicted Coordinates: (x=1.342, y=0.847)
Current Angles: -0.091, 1.218; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.256, -0.017453292519943295 rad on alpha: 0.272, +0.017453292519943295 rad on beta: 0.256, -0.017453292519943295 rad on beta: 0.272; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.272; Distance: 0.931; Predicted Coordinates: (x=1.358, y=0.841)
Current Angles: -0.091, 1.200; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.264, -0.017453292519943295 rad on alpha: 0.280, +0.017453292519943295 rad on beta: 0.264, -0.017453292519943295 rad on beta: 0.280; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.280; Distance: 0.915; Predicted Coordinates: (x=1.374, y=0.834)
Current Angles: -0.091, 1.183; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.272, -0.017453292519943295 rad on alpha: 0.288, +0.017453292519943295 rad on beta: 0.272, -0.017453292519943295 rad on beta: 0.288; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.288; Distance: 0.899; Predicted Coordinates: (x=1.390, y=0.828)
Current Angles: -0.091, 1.165; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.280, -0.017453292519943295 rad on alpha: 0.296, +0.017453292519943295 rad on beta: 0.280, -0.017453292519943295 rad on beta: 0.296; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.296; Distance: 0.884; Predicted Coordinates: (x=1.406, y=0.821)
Current Angles: -0.091, 1.148; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.288, -0.017453292519943295 rad on alpha: 0.304, +0.017453292519943295 rad on beta: 0.288, -0.017453292519943295 rad on beta: 0.304; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.304; Distance: 0.868; Predicted Coordinates: (x=1.405, y=0.803)
Current Angles: -0.109, 1.148; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.296, -0.017453292519943295 rad on alpha: 0.312, +0.017453292519943295 rad on beta: 0.296, -0.017453292519943295 rad on beta: 0.312; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.312; Distance: 0.856; Predicted Coordinates: (x=1.420, y=0.796)
Current Angles: -0.109, 1.130; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.304, -0.017453292519943295 rad on alpha: 0.320, +0.017453292519943295 rad on beta: 0.304, -0.017453292519943295 rad on beta: 0.320; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.320; Distance: 0.840; Predicted Coordinates: (x=1.436, y=0.788)
Current Angles: -0.109, 1.113; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.312, -0.017453292519943295 rad on alpha: 0.329, +0.017453292519943295 rad on beta: 0.312, -0.017453292519943295 rad on beta: 0.329; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.329; Distance: 0.823; Predicted Coordinates: (x=1.452, y=0.781)
Current Angles: -0.109, 1.095; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.320, -0.017453292519943295 rad on alpha: 0.337, +0.017453292519943295 rad on beta: 0.320, -0.017453292519943295 rad on beta: 0.337; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.337; Distance: 0.807; Predicted Coordinates: (x=1.467, y=0.772)
Current Angles: -0.109, 1.078; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.328, -0.017453292519943295 rad on alpha: 0.345, +0.017453292519943295 rad on beta: 0.329, -0.017453292519943295 rad on beta: 0.345; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.345; Distance: 0.791; Predicted Coordinates: (x=1.482, y=0.764)
Current Angles: -0.109, 1.061; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.337, -0.017453292519943295 rad on alpha: 0.354, +0.017453292519943295 rad on beta: 0.337, -0.017453292519943295 rad on beta: 0.354; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.354; Distance: 0.775; Predicted Coordinates: (x=1.480, y=0.747)
Current Angles: -0.126, 1.061; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.345, -0.017453292519943295 rad on alpha: 0.362, +0.017453292519943295 rad on beta: 0.345, -0.017453292519943295 rad on beta: 0.362; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.362; Distance: 0.763; Predicted Coordinates: (x=1.496, y=0.738)
Current Angles: -0.126, 1.043; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.354, -0.017453292519943295 rad on alpha: 0.370, +0.017453292519943295 rad on beta: 0.354, -0.017453292519943295 rad on beta: 0.370; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.370; Distance: 0.746; Predicted Coordinates: (x=1.511, y=0.729)
Current Angles: -0.126, 1.026; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.362, -0.017453292519943295 rad on alpha: 0.379, +0.017453292519943295 rad on beta: 0.362, -0.017453292519943295 rad on beta: 0.379; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.379; Distance: 0.729; Predicted Coordinates: (x=1.525, y=0.720)
Current Angles: -0.126, 1.008; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.371, -0.017453292519943295 rad on alpha: 0.387, +0.017453292519943295 rad on beta: 0.370, -0.017453292519943295 rad on beta: 0.387; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.387; Distance: 0.713; Predicted Coordinates: (x=1.540, y=0.711)
Current Angles: -0.126, 0.991; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.382, -0.017453292519943295 rad on alpha: 0.396, +0.017453292519943295 rad on beta: 0.379, -0.017453292519943295 rad on beta: 0.398; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.398; Distance: 0.696; Predicted Coordinates: (x=1.555, y=0.701)
Current Angles: -0.126, 0.973; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.394, -0.017453292519943295 rad on alpha: 0.405, +0.017453292519943295 rad on beta: 0.387, -0.017453292519943295 rad on beta: 0.410; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.410; Distance: 0.679; Predicted Coordinates: (x=1.569, y=0.691)
Current Angles: -0.126, 0.956; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.405, -0.017453292519943295 rad on alpha: 0.414, +0.017453292519943295 rad on beta: 0.398, -0.017453292519943295 rad on beta: 0.421; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.421; Distance: 0.663; Predicted Coordinates: (x=1.583, y=0.681)
Current Angles: -0.126, 0.938; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.417, -0.017453292519943295 rad on alpha: 0.425, +0.017453292519943295 rad on beta: 0.410, -0.017453292519943295 rad on beta: 0.433; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.433; Distance: 0.646; Predicted Coordinates: (x=1.597, y=0.670)
Current Angles: -0.126, 0.921; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.428, -0.017453292519943295 rad on alpha: 0.437, +0.017453292519943295 rad on beta: 0.421, -0.017453292519943295 rad on beta: 0.444; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.444; Distance: 0.629; Predicted Coordinates: (x=1.611, y=0.660)
Current Angles: -0.126, 0.903; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.440, -0.017453292519943295 rad on alpha: 0.448, +0.017453292519943295 rad on beta: 0.433, -0.017453292519943295 rad on beta: 0.456; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.456; Distance: 0.612; Predicted Coordinates: (x=1.625, y=0.649)
Current Angles: -0.126, 0.886; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.452, -0.017453292519943295 rad on alpha: 0.460, +0.017453292519943295 rad on beta: 0.444, -0.017453292519943295 rad on beta: 0.468; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.468; Distance: 0.595; Predicted Coordinates: (x=1.638, y=0.637)
Current Angles: -0.126, 0.869; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.463, -0.017453292519943295 rad on alpha: 0.471, +0.017453292519943295 rad on beta: 0.456, -0.017453292519943295 rad on beta: 0.479; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.479; Distance: 0.578; Predicted Coordinates: (x=1.651, y=0.626)
Current Angles: -0.126, 0.851; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.475, -0.017453292519943295 rad on alpha: 0.483, +0.017453292519943295 rad on beta: 0.468, -0.017453292519943295 rad on beta: 0.491; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.491; Distance: 0.561; Predicted Coordinates: (x=1.664, y=0.614)
Current Angles: -0.126, 0.834; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.486, -0.017453292519943295 rad on alpha: 0.494, +0.017453292519943295 rad on beta: 0.479, -0.017453292519943295 rad on beta: 0.502; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.502; Distance: 0.544; Predicted Coordinates: (x=1.677, y=0.603)
Current Angles: -0.126, 0.816; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.498, -0.017453292519943295 rad on alpha: 0.506, +0.017453292519943295 rad on beta: 0.491, -0.017453292519943295 rad on beta: 0.514; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.514; Distance: 0.527; Predicted Coordinates: (x=1.690, y=0.591)
Current Angles: -0.126, 0.799; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.509, -0.017453292519943295 rad on alpha: 0.517, +0.017453292519943295 rad on beta: 0.502, -0.017453292519943295 rad on beta: 0.525; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.525; Distance: 0.510; Predicted Coordinates: (x=1.702, y=0.578)
Current Angles: -0.126, 0.781; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.521, -0.017453292519943295 rad on alpha: 0.529, +0.017453292519943295 rad on beta: 0.514, -0.017453292519943295 rad on beta: 0.537; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.537; Distance: 0.492; Predicted Coordinates: (x=1.714, y=0.566)
Current Angles: -0.126, 0.764; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.532, -0.017453292519943295 rad on alpha: 0.540, +0.017453292519943295 rad on beta: 0.525, -0.017453292519943295 rad on beta: 0.548; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.548; Distance: 0.475; Predicted Coordinates: (x=1.726, y=0.553)
Current Angles: -0.126, 0.746; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.543, -0.017453292519943295 rad on alpha: 0.552, +0.017453292519943295 rad on beta: 0.537, -0.017453292519943295 rad on beta: 0.559; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.559; Distance: 0.458; Predicted Coordinates: (x=1.738, y=0.540)
Current Angles: -0.126, 0.729; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.555, -0.017453292519943295 rad on alpha: 0.563, +0.017453292519943295 rad on beta: 0.548, -0.017453292519943295 rad on beta: 0.571; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.571; Distance: 0.441; Predicted Coordinates: (x=1.749, y=0.527)
Current Angles: -0.126, 0.711; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.566, -0.017453292519943295 rad on alpha: 0.574, +0.017453292519943295 rad on beta: 0.559, -0.017453292519943295 rad on beta: 0.582; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.582; Distance: 0.423; Predicted Coordinates: (x=1.761, y=0.514)
Current Angles: -0.126, 0.694; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.578, -0.017453292519943295 rad on alpha: 0.586, +0.017453292519943295 rad on beta: 0.571, -0.017453292519943295 rad on beta: 0.593; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.593; Distance: 0.406; Predicted Coordinates: (x=1.772, y=0.500)
Current Angles: -0.126, 0.677; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.589, -0.017453292519943295 rad on alpha: 0.597, +0.017453292519943295 rad on beta: 0.582, -0.017453292519943295 rad on beta: 0.605; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.605; Distance: 0.388; Predicted Coordinates: (x=1.783, y=0.487)
Current Angles: -0.126, 0.659; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.600, -0.017453292519943295 rad on alpha: 0.611, +0.017453292519943295 rad on beta: 0.593, -0.017453292519943295 rad on beta: 0.621; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.621; Distance: 0.371; Predicted Coordinates: (x=1.793, y=0.473)
Current Angles: -0.126, 0.642; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.614, -0.017453292519943295 rad on alpha: 0.627, +0.017453292519943295 rad on beta: 0.605, -0.017453292519943295 rad on beta: 0.637; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.637; Distance: 0.354; Predicted Coordinates: (x=1.803, y=0.459)
Current Angles: -0.126, 0.624; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.630, -0.017453292519943295 rad on alpha: 0.642, +0.017453292519943295 rad on beta: 0.621, -0.017453292519943295 rad on beta: 0.652; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.652; Distance: 0.336; Predicted Coordinates: (x=1.814, y=0.444)
Current Angles: -0.126, 0.607; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.646, -0.017453292519943295 rad on alpha: 0.658, +0.017453292519943295 rad on beta: 0.637, -0.017453292519943295 rad on beta: 0.668; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.668; Distance: 0.319; Predicted Coordinates: (x=1.823, y=0.430)
Current Angles: -0.126, 0.589; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.661, -0.017453292519943295 rad on alpha: 0.673, +0.017453292519943295 rad on beta: 0.652, -0.017453292519943295 rad on beta: 0.683; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.683; Distance: 0.301; Predicted Coordinates: (x=1.833, y=0.415)
Current Angles: -0.126, 0.572; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.677, -0.017453292519943295 rad on alpha: 0.687, +0.017453292519943295 rad on beta: 0.668, -0.017453292519943295 rad on beta: 0.698; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.698; Distance: 0.284; Predicted Coordinates: (x=1.842, y=0.401)
Current Angles: -0.126, 0.554; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.693, -0.017453292519943295 rad on alpha: 0.699, +0.017453292519943295 rad on beta: 0.683, -0.017453292519943295 rad on beta: 0.711; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.711; Distance: 0.266; Predicted Coordinates: (x=1.851, y=0.386)
Current Angles: -0.126, 0.537; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.708, -0.017453292519943295 rad on alpha: 0.711, +0.017453292519943295 rad on beta: 0.698, -0.017453292519943295 rad on beta: 0.723; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.723; Distance: 0.249; Predicted Coordinates: (x=1.860, y=0.371)
Current Angles: -0.126, 0.520; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.722, -0.017453292519943295 rad on alpha: 0.730, +0.017453292519943295 rad on beta: 0.711, -0.017453292519943295 rad on beta: 0.735; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.735; Distance: 0.232; Predicted Coordinates: (x=1.869, y=0.355)
Current Angles: -0.126, 0.502; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.735, -0.017453292519943295 rad on alpha: 0.752, +0.017453292519943295 rad on beta: 0.723, -0.017453292519943295 rad on beta: 0.752; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.752; Distance: 0.214; Predicted Coordinates: (x=1.866, y=0.338)
Current Angles: -0.144, 0.502; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.735, -0.017453292519943295 rad on alpha: 0.774, +0.017453292519943295 rad on beta: 0.730, -0.017453292519943295 rad on beta: 0.775; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.775; Distance: 0.201; Predicted Coordinates: (x=1.875, y=0.323)
Current Angles: -0.144, 0.485; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.752, -0.017453292519943295 rad on alpha: 0.797, +0.017453292519943295 rad on beta: 0.752, -0.017453292519943295 rad on beta: 0.798; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.798; Distance: 0.184; Predicted Coordinates: (x=1.883, y=0.307)
Current Angles: -0.144, 0.467; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.774, -0.017453292519943295 rad on alpha: 0.820, +0.017453292519943295 rad on beta: 0.775, -0.017453292519943295 rad on beta: 0.821; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.821; Distance: 0.167; Predicted Coordinates: (x=1.890, y=0.291)
Current Angles: -0.144, 0.450; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.797, -0.017453292519943295 rad on alpha: 0.844, +0.017453292519943295 rad on beta: 0.798, -0.017453292519943295 rad on beta: 0.844; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.844; Distance: 0.150; Predicted Coordinates: (x=1.898, y=0.276)
Current Angles: -0.144, 0.432; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.820, -0.017453292519943295 rad on alpha: 0.867, +0.017453292519943295 rad on beta: 0.821, -0.017453292519943295 rad on beta: 0.869; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.869; Distance: 0.133; Predicted Coordinates: (x=1.905, y=0.260)
Current Angles: -0.144, 0.415; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.844, -0.017453292519943295 rad on alpha: 0.892, +0.017453292519943295 rad on beta: 0.844, -0.017453292519943295 rad on beta: 0.893; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.893; Distance: 0.117; Predicted Coordinates: (x=1.912, y=0.244)
Current Angles: -0.144, 0.397; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.868, -0.017453292519943295 rad on alpha: 0.916, +0.017453292519943295 rad on beta: 0.869, -0.017453292519943295 rad on beta: 0.919; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.919; Distance: 0.101; Predicted Coordinates: (x=1.918, y=0.228)
Current Angles: -0.144, 0.380; Goal: 1.993, 0.160;+0.017453292519943295 rad on alpha: 0.893, -0.017453292519943295 rad on alpha: 0.939, +0.017453292519943295 rad on beta: 0.893, -0.017453292519943295 rad on beta: 0.944; Robot choose: -0.017453292519943295 rad on beta with Utility Value: 0.944; Distance: 0.085; Predicted Coordinates: (x=1.925, y=0.211)
Robot reached the goal in 132 steps!
Current Angles: 0.790, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.236, -0.017453292519943295 rad on alpha: 0.258, +0.017453292519943295 rad on beta: 0.236, -0.017453292519943295 rad on beta: 0.258; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.258; Distance: 0.969; Predicted Coordinates: (x=1.420, y=1.408)
Current Angles: 0.773, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.247, -0.017453292519943295 rad on alpha: 0.269, +0.017453292519943295 rad on beta: 0.247, -0.017453292519943295 rad on beta: 0.269; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.269; Distance: 0.952; Predicted Coordinates: (x=1.432, y=1.396)
Current Angles: 0.755, 0.790; Goal: 1.898, 0.566;+0.017453292519943295 rad on alpha: 0.258, -0.017453292519943295 rad on alpha: 0.280, +0.017453292519943295 rad on beta: 0.258, -0.017453292519943295 rad on beta: 0.280; Robot choose: -0.017453292519943295 rad on alpha with Utility Value: 0.280; Distance: 0.935; Predicted Coordinates: (x=1.444, y=1.383)
